date,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close
2022-07-04,3381.8194,3405.6185,3364.0947,3405.4266999999995,3386.7825,3425.3367,3342.6812,3387.4683
2022-07-05,3411.1296999999995,3424.8366,3372.0623000000005,3404.0252000000005,3386.5625,3425.1216,3342.4734,3387.2568
2022-07-06,3391.0265,3391.0265000000004,3333.0965000000006,3355.3497000000007,3404.0366,3442.8813,3359.659,3404.7598
2022-07-07,3353.1283,3375.8595000000005,3332.3092,3364.398,3391.1228,3429.751,3346.9526,3391.8188
2022-07-08,3380.3686000000002,3386.3149000000003,3354.1208999999994,3356.0778,3371.3394,3409.6533,3327.5059,3372.013
2022-07-11,3341.1016000000004,3341.1016,3297.0050000000006,3313.584,3356.999,3395.0947,3313.419,3357.667
2022-07-12,3307.2211000000007,3319.2512000000006,3277.0794,3281.4665,3335.688,3373.4612,3292.4858,3336.349
2022-07-13,3279.6025,3297.0185,3266.4811,3284.2918,3310.824,3348.2258,3268.0671,3311.4812
2022-07-14,3277.4545,3299.2512,3261.4934,3281.744,3297.1304,3334.3438,3254.6355,3297.8032
2022-07-15,3261.3826,3288.9198000000006,3228.0608999999995,3228.0609,3295.2432,3332.449,3252.803,3295.938
2022-07-18,3235.0881,3278.4715,3226.2314999999994,3278.1033,3279.1436,3316.1045,3236.9873,3279.831
2022-07-19,3278.7220999999995,3283.9295,3256.0152,3279.4313,3279.6804,3316.6672,3237.5325,3280.3877
2022-07-20,3291.5507,3308.3471999999997,3287.7441,3304.7242999999994,3273.8296,3310.724,3231.7822,3274.531
2022-07-21,3297.6614,3300.5345,3272.0012,3272.0012,3280.9575,3317.9697,3238.7942,3281.6719
2022-07-22,3276.1965999999998,3293.6439,3246.7312999999995,3269.9739000000004,3281.2522,3318.2678,3239.0823,3281.9658
2022-07-25,3269.7069999999994,3273.1836,3243.0311,3250.3880000000004,3274.3855,3311.294,3232.3345,3275.0925
2022-07-26,3254.1852,3282.4133,3246.044,3277.4356,3254.6946,3291.2935,3212.981,3255.3826
2022-07-27,3271.7825,3282.5739,3265.7267,3275.7553,3251.6453,3288.2139,3210.001,3252.3486
2022-07-28,3287.5019,3305.7056999999995,3277.1078,3282.5758,3251.8264,3288.4062,3210.188,3252.5396
2022-07-29,3282.8114,3294.8045,3246.3677,3253.2381999999993,3268.781,3305.6396,3226.8635,3269.523
2022-08-01,3246.6161,3264.3041,3225.5533,3259.9585,3272.985,3309.905,3230.9902,3273.7258
2022-08-02,3231.2621,3231.2621,3155.1866000000005,3186.2664,3268.1323,3304.9692,3226.2134,3268.8606
2022-08-03,3188.8906000000006,3217.5496,3159.4570000000003,3163.6740999999997,3247.4446,3283.9592,3205.8818,3248.1553
2022-08-04,3179.4278000000004,3190.9992,3155.7038999999995,3189.0391000000004,3211.6514,3247.6123,3170.711,3212.337
2022-08-05,3195.2274,3228.8863000000006,3184.4549,3227.0267,3182.4385,3217.9624,3142.0215,3183.1204
2022-08-08,3218.8511,3237.9693,3214.0826,3236.9337,3187.4072,3223.0442,3146.9412,3188.132
2022-08-09,3235.7351,3248.7718,3227.5394,3247.4318000000003,3199.532,3235.3733,3158.8726,3200.2832
2022-08-10,3242.3622,3253.1662,3217.8065,3230.02,3216.883,3252.9983,3175.9275,3217.652
2022-08-11,3243.4716,3281.6654,3237.9041,3281.6654,3221.737,3257.9165,3180.6858,3222.4976
2022-08-12,3275.77,3288.2233,3272.8406,3276.8877,3253.709,3290.3936,3212.1118,3254.5027
2022-08-15,3268.3653,3286.891,3261.8151,3276.087,3272.4438,3309.3982,3230.5005,3273.229
2022-08-16,3278.6756,3295.0226,3271.5703,3277.8846999999996,3275.266,3312.2378,3233.247,3276.0254
2022-08-17,3282.1007999999997,3295.9976,3263.3483,3292.526,3277.6245,3314.621,3235.5522,3278.373
2022-08-18,3286.3669,3289.1415,3270.5584,3277.5438000000004,3287.8335,3324.9878,3245.5833,3288.5886
2022-08-19,3275.6229,3286.4911000000006,3258.0637,3258.0784,3282.476,3319.5327,3240.3044,3283.2117
2022-08-22,3249.7046,3278.1655,3247.1870000000004,3277.7943,3275.936,3312.8887,3233.8748,3276.6638
2022-08-23,3274.4269999999997,3284.5963,3262.6331,3276.2233999999994,3273.9521,3310.879,3231.9302,3274.6836
2022-08-24,3279.1716,3281.8752,3212.386,3215.2033,3273.2449,3310.1616,3231.2366,3273.977
2022-08-25,3223.4645,3248.3505,3199.1242,3246.2481,3260.0288,3296.7407,3218.2493,3260.7512
2022-08-26,3250.6276,3266.2737,3232.2766,3236.2226,3254.4011,3291.0366,3212.7302,3255.1306
2022-08-29,3203.1022,3240.7275,3198.9959999999996,3240.7275,3243.0476,3279.5063,3201.5735,3243.7683
2022-08-30,3240.1835,3243.7460000000005,3212.6346,3227.2203,3230.735,3267.007,3189.4795,3231.452
2022-08-31,3216.5257,3232.0157999999997,3184.3936,3202.1378,3221.2034,3257.3367,3180.1226,3221.9226
2022-09-01,3196.5367000000006,3214.5583,3181.6256,3184.9797,3218.1448,3254.2476,3177.1333,3218.8794
2022-09-02,3189.6439,3198.2812,3173.7928999999995,3186.4781000000003,3197.9998,3233.7886,3157.3367,3198.7178
2022-09-05,3183.946,3199.9117999999994,3172.0394,3199.9118,3179.3054,3214.8108,3138.9736,3180.017
2022-09-06,3207.933,3244.6352999999995,3203.8160999999996,3243.4466000000007,3181.2402,3216.7988,3140.8982,3181.9783
2022-09-07,3232.1368000000007,3253.7671,3227.8225,3246.2943,3214.9944,3251.1033,3174.0935,3215.7856
2022-09-08,3245.557,3253.7005,3233.8007000000002,3235.5862,3235.896,3272.3164,3194.6199,3236.6897
2022-09-09,3241.1809000000003,3266.1974,3236.5078,3262.0541999999996,3237.0256,3273.4358,3195.7021,3237.7903
2022-09-13,3272.0492,3278.1659,3259.6644000000006,3263.7972000000004,3244.4702,3280.9866,3203.0078,3245.2305
2022-09-14,3224.6783,3250.8024000000005,3221.9608999999996,3237.5419,3250.0066,3286.599,3208.4385,3250.761
2022-09-15,3248.9721000000004,3254.1789000000003,3174.3898999999997,3199.9187000000006,3233.9343,3270.2617,3192.629,3234.6592
