,Unnamed: 0,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2572,2572,2012-04-20,sh.000001,27.296739603588314,27.943880844464587,27.24652626631513,27.935333471492726,2378.634,11552206200,101772111696.0,3,0.006352,1,1.186774,0.0
2573,2573,2012-04-23,sh.000001,27.869056625850156,28.027490413952656,27.463443123777274,27.572912958590862,2406.863,12290755800,109412433183.0,3,0.006753,1,-0.759293,0.0
2574,2574,2012-04-24,sh.000001,27.407280338959858,28.111556107752428,26.815568117703876,27.57779150557711,2388.588,13372235400,117494693490.0,3,0.007343,1,0.010303,0.0
2575,2575,2012-04-25,sh.000001,27.44644753529262,28.02572541118119,27.335688653511127,27.934341896902033,2388.834,13097286700,113070083354.0,3,0.007192,1,0.752627,0.0
2576,2576,2012-04-26,sh.000001,27.96894785011756,28.091823773397444,27.665664845805196,27.89237846022349,2406.813,11552958700,104823228170.0,3,0.006344,1,-0.087916,0.0
2577,2577,2012-04-27,sh.000001,27.847440299772835,27.966211104247215,27.677603403877264,27.72617072732988,2404.697,9122835000,84016072396.0,3,0.005009,1,-0.348531,0.0
2578,2578,2012-05-02,sh.000001,28.21731745359679,28.718419588754358,27.953677601420736,28.561473162537922,2396.316,12800600600,123975243894.0,3,0.007026,1,1.757703,0.0
2579,2579,2012-05-03,sh.000001,28.465349921715188,28.631220519247954,28.349117548193007,28.59407613508023,2438.436,10224849300,102185836407.0,3,0.005612,1,0.067422,0.0
2580,2580,2012-05-04,sh.000001,28.542216783986476,28.86479582983391,28.353896937720194,28.830745158389178,2440.08,10220487100,102378296014.0,3,0.005607,1,0.489076,0.0
2581,2581,2012-05-07,sh.000001,28.627333546852398,28.829416448437634,28.448433659197796,28.829416448437634,2452.014,10883010700,111395001265.0,3,0.005967,1,-0.002728,0.0
2582,2582,2012-05-08,sh.000001,28.822039133482797,28.82249525779452,28.414501976703953,28.768672589011175,2451.947,10485553700,104969661883.0,3,0.005748,1,-0.124921,0.0
2583,2583,2012-05-09,sh.000001,28.443198145358892,28.443198145358892,27.948144615204612,27.969522963380165,2448.884,9790221200,99521226356.0,3,0.005366,1,-1.64553,0.0
2584,2584,2012-05-10,sh.000001,27.996454129263654,28.17842789814943,27.84293855113105,28.00210610443066,2408.587,8169847100,81054861426.0,3,0.004476,1,0.068217,0.0
2585,2585,2012-05-11,sh.000001,27.91968642445144,28.116077687886033,27.66790580438019,27.699735348741747,2410.23,7486399500,75815758028.0,3,0.004101,1,-0.632598,0.0
2586,2586,2012-05-14,sh.000001,27.963077728540597,28.022770518900906,27.362599987902797,27.41697793845693,2394.983,9052633900,89364340585.0,3,0.004956,1,-0.59532,0.0
2587,2587,2012-05-15,sh.000001,27.146436727129583,27.33505404577307,26.899157855700118,27.300329103606657,2380.725,7792291600,77334728771.0,3,0.004264,1,-0.247071,0.0
2588,2588,2012-05-16,sh.000001,27.190303987022276,27.244582780117348,26.698582147492758,26.73213703164214,2374.843,7673382900,74181725328.0,3,0.004198,1,-1.206443,0.0
2589,2589,2012-05-17,sh.000001,26.751671051078986,27.468163018829017,26.655984103076165,27.380507825010888,2346.192,8687003000,81458439849.0,3,0.004751,1,1.393496,0.0
2590,2590,2012-05-18,sh.000001,27.103124749007684,27.196312929041937,26.574456840228585,26.69897877732904,2378.886,8968941900,78956446671.0,3,0.004904,1,-1.444624,0.0
2591,2591,2012-05-21,sh.000001,26.680257849056574,27.01362522645085,26.41747075102851,26.773941816386177,2344.52,7484034100,70052964572.0,3,0.00409,1,0.161228,0.0
2592,2592,2012-05-22,sh.000001,26.921329463548233,27.284721719548997,26.904195054620892,27.26986793218026,2348.3,7677978000,75374527235.0,3,0.004194,1,1.064891,0.0
2593,2593,2012-05-23,sh.000001,27.18970904226785,27.364464148133322,26.818523009984162,27.074131107975532,2373.307,8421658000,84886660758.0,3,0.004601,1,-0.41587,0.0
2594,2594,2012-05-24,sh.000001,26.99966385621375,27.26491005922675,26.700168666837882,26.826951394005143,2363.437,7920680500,76840602473.0,3,0.004326,1,-0.527372,0.0
2595,2595,2012-05-25,sh.000001,26.818384189541476,26.9228366569261,26.359622289406914,26.481486806604288,2350.973,7401925200,68024547810.0,3,0.004039,1,-0.740966,0.0
2596,2596,2012-05-28,sh.000001,26.31815464002372,27.040556392334345,25.995992055504388,27.033079919920446,2333.553,9496210500,86735892422.0,3,0.00518,1,1.191915,0.0
2597,2597,2012-05-29,sh.000001,27.02586125690013,27.665942486690597,26.973724264920968,27.59369636201199,2361.367,11715772500,111363644314.0,3,0.00639,1,1.197147,0.0
2598,2598,2012-05-30,sh.000001,27.509531510753135,27.63445007768987,27.365574711674896,27.495173510679763,2389.636,8980979300,84828401300.0,3,0.004896,1,-0.207899,0.0
